"unitid","institution name","year","C2011_A.First or Second Major","C2011_A.CIP Code -  2010 Classification","CipTitle","C2011_A.Award Level code","C2011_A_RV.Grand total","IDX_C"
"164447","American International College","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"164447","American International College","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","2","-2"
"164447","American International College","2011","First major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"164447","American International College","2011","Second major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"164465","Amherst College","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","10","-2"
"164465","Amherst College","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","7","-2"
"164465","Amherst College","2011","First major","'40'","Physical Sciences","Bachelor's degree","29","-2"
"164465","Amherst College","2011","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","2","-2"
"164465","Amherst College","2011","Second major","'27'","Mathematics and Statistics","Bachelor's degree","13","-2"
"164465","Amherst College","2011","Second major","'40'","Physical Sciences","Bachelor's degree","8","-2"
"164492","Anna Maria College","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"164492","Anna Maria College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Master's degree","2","-2"
"164562","Assumption College","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","5","-2"
"164562","Assumption College","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","14","-2"
"164562","Assumption College","2011","First major","'40'","Physical Sciences","Bachelor's degree","7","-2"
"164562","Assumption College","2011","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"164562","Assumption College","2011","Second major","'27'","Mathematics and Statistics","Bachelor's degree","3","-2"
"164562","Assumption College","2011","Second major","'40'","Physical Sciences","Bachelor's degree","0","-2"
"164720","Becker College","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"164739","Bentley University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","31","-2"
"164739","Bentley University","2011","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","46","-2"
"164739","Bentley University","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","15","-2"
"164739","Bentley University","2011","Second major","'11'","Computer and Information Sciences and Support Services","Master's degree","0","-2"
"164775","Berkshire Community College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","5","-2"
"164775","Berkshire Community College","2011","First major","'14'","Engineering","Associate's degree","7","-2"
"164775","Berkshire Community College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","6","-2"
"164924","Boston College","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","35","-2"
"164924","Boston College","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","41","-2"
"164924","Boston College","2011","First major","'27'","Mathematics and Statistics","Master's degree","5","-2"
"164924","Boston College","2011","First major","'40'","Physical Sciences","Bachelor's degree","39","-2"
"164924","Boston College","2011","First major","'40'","Physical Sciences","Master's degree","8","-2"
"164924","Boston College","2011","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship (new degree classification)","20","-2"
"164924","Boston College","2011","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","39","-2"
"164924","Boston College","2011","Second major","'27'","Mathematics and Statistics","Bachelor's degree","14","-2"
"164924","Boston College","2011","Second major","'40'","Physical Sciences","Bachelor's degree","0","-2"
"164988","Boston University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","42","-2"
"164988","Boston University","2011","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","237","-2"
"164988","Boston University","2011","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship (new degree classification)","6","-2"
"164988","Boston University","2011","First major","'14'","Engineering","Bachelor's degree","271","-2"
"164988","Boston University","2011","First major","'14'","Engineering","Master's degree","148","-2"
"164988","Boston University","2011","First major","'14'","Engineering","Doctor's degree - research/scholarship (new degree classification)","65","-2"
"164988","Boston University","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","53","-2"
"164988","Boston University","2011","First major","'27'","Mathematics and Statistics","Master's degree","9","-2"
"164988","Boston University","2011","First major","'27'","Mathematics and Statistics","Doctor's degree - research/scholarship (new degree classification)","4","-2"
"164988","Boston University","2011","First major","'40'","Physical Sciences","Bachelor's degree","47","-2"
"164988","Boston University","2011","First major","'40'","Physical Sciences","Master's degree","21","-2"
"164988","Boston University","2011","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship (new degree classification)","32","-2"
"165015","Brandeis University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","16","-2"
"165015","Brandeis University","2011","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","89","-2"
"165015","Brandeis University","2011","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship (new degree classification)","0","-2"
"165015","Brandeis University","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","9","-2"
"165015","Brandeis University","2011","First major","'27'","Mathematics and Statistics","Master's degree","3","-2"
"165015","Brandeis University","2011","First major","'27'","Mathematics and Statistics","Doctor's degree - research/scholarship (new degree classification)","1","-2"
"165015","Brandeis University","2011","First major","'40'","Physical Sciences","Bachelor's degree","15","-2"
"165015","Brandeis University","2011","First major","'40'","Physical Sciences","Master's degree","8","-2"
"165015","Brandeis University","2011","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship (new degree classification)","12","-2"
"165015","Brandeis University","2011","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","6","-2"
"165015","Brandeis University","2011","Second major","'11'","Computer and Information Sciences and Support Services","Master's degree","0","-2"
"165015","Brandeis University","2011","Second major","'27'","Mathematics and Statistics","Bachelor's degree","24","-2"
"165015","Brandeis University","2011","Second major","'40'","Physical Sciences","Bachelor's degree","5","-2"
"165015","Brandeis University","2011","Second major","'40'","Physical Sciences","Master's degree","0","-2"
"165024","Bridgewater State University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","19","-2"
"165024","Bridgewater State University","2011","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","3","-2"
