"unitid","institution name","year","C2009_A.CIP Code -  2000 Classification","CipTitle","C2009_A.First or Second Major","C2009_A.Award Level code","C2009_A_RV.Grand total","IDX_C"
"110334","Cabrillo College","2009","'11'","Computer and information sciences and support services.","First major","Award of less than 1 academic year","41","-2"
"110334","Cabrillo College","2009","'11'","Computer and information sciences and support services.","First major","Award of at least 1 but less than 2 academic years","7","-2"
"110334","Cabrillo College","2009","'11'","Computer and information sciences and support services.","First major","Associate's degree","18","-2"
"110334","Cabrillo College","2009","'14'","Engineering.","First major","Associate's degree","11","-2"
"110334","Cabrillo College","2009","'15'","Engineering technologies/technicians.","First major","Award of less than 1 academic year","1","-2"
"110334","Cabrillo College","2009","'15'","Engineering technologies/technicians.","First major","Award of at least 1 but less than 2 academic years","1","-2"
"110334","Cabrillo College","2009","'15'","Engineering technologies/technicians.","First major","Associate's degree","0","-2"
"110334","Cabrillo College","2009","'27'","Mathematics and statistics.","First major","Associate's degree","2","-2"
"110334","Cabrillo College","2009","'40'","Physical sciences.","First major","Associate's degree","5","-2"
"110361","California Baptist University","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","9","-2"
"110404","California Institute of Technology","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","19","-2"
"110404","California Institute of Technology","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","1","-2"
"110404","California Institute of Technology","2009","'11'","Computer and information sciences and support services.","First major","Doctor's degree (old degree classification)","2","-2"
"110404","California Institute of Technology","2009","'14'","Engineering.","First major","Bachelor's degree","70","-2"
"110404","California Institute of Technology","2009","'14'","Engineering.","First major","Master's degree","70","-2"
"110404","California Institute of Technology","2009","'14'","Engineering.","First major","Post-master's certificate","2","-2"
"110404","California Institute of Technology","2009","'14'","Engineering.","First major","Doctor's degree (old degree classification)","56","-2"
"110404","California Institute of Technology","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","30","-2"
"110404","California Institute of Technology","2009","'27'","Mathematics and statistics.","First major","Master's degree","3","-2"
"110404","California Institute of Technology","2009","'27'","Mathematics and statistics.","First major","Doctor's degree (old degree classification)","10","-2"
