"unitid","institution name","year","C2012_A.First or Second Major","C2012_A.CIP Code -  2010 Classification","CipTitle","C2012_A.Award Level code","C2012_A.Grand total","IDX_C"
"110413","California Lutheran University","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","27","-2"
"110413","California Lutheran University","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","22","-2"
"110413","California Lutheran University","2012","First major","'14'","Engineering","Bachelor's degree","3","-2"
"110413","California Lutheran University","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","5","-2"
"110413","California Lutheran University","2012","First major","'40'","Physical Sciences","Bachelor's degree","16","-2"
"110413","California Lutheran University","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","1","-2"
"110413","California Lutheran University","2012","Second major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"110422","California Polytechnic State University-San Luis Obispo","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","76","-2"
"110422","California Polytechnic State University-San Luis Obispo","2012","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","9","-2"
"110422","California Polytechnic State University-San Luis Obispo","2012","First major","'14'","Engineering","Bachelor's degree","995","-2"
"110422","California Polytechnic State University-San Luis Obispo","2012","First major","'14'","Engineering","Master's degree","184","-2"
"110422","California Polytechnic State University-San Luis Obispo","2012","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","35","-2"
"110422","California Polytechnic State University-San Luis Obispo","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","36","-2"
"110422","California Polytechnic State University-San Luis Obispo","2012","First major","'27'","Mathematics and Statistics","Master's degree","3","-2"
"110422","California Polytechnic State University-San Luis Obispo","2012","First major","'40'","Physical Sciences","Bachelor's degree","65","-2"
"110422","California Polytechnic State University-San Luis Obispo","2012","First major","'40'","Physical Sciences","Master's degree","5","-2"
"110422","California Polytechnic State University-San Luis Obispo","2012","Second major","'14'","Engineering","Master's degree","1","-2"
"110422","California Polytechnic State University-San Luis Obispo","2012","Second major","'27'","Mathematics and Statistics","Bachelor's degree","2","-2"
"110422","California Polytechnic State University-San Luis Obispo","2012","Second major","'40'","Physical Sciences","Master's degree","1","-2"
"110486","California State University-Bakersfield","2012","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","25","-2"
"110486","California State University-Bakersfield","2012","First major","'14'","Engineering","Bachelor's degree","1","-2"
"110486","California State University-Bakersfield","2012","First major","'27'","Mathematics and Statistics","Bachelor's degree","22","-2"
"110486","California State University-Bakersfield","2012","First major","'27'","Mathematics and Statistics","Master's degree","7","-2"
"110486","California State University-Bakersfield","2012","First major","'40'","Physical Sciences","Bachelor's degree","45","-2"
